Time(d),Al,C,Ca,Fe,H,K,Mg,Na,Nit,O,S,Si,Zz,Ca/Si
0.78975,0,0,0.32177,0,1.1433,0.0026281,0,1.9996e-09,0,1.2921,0,0.19871,0,1.6193
0.86872,0,0,0.32967,0,1.1714,0.0027048,0,1.9996e-09,0,1.3239,0,0.20359,0,1.6193
0.95559,0,0,0.33739,0,1.1988,0.0027798,0,1.9996e-09,0,1.3549,0,0.20836,0,1.6193
1.0512,0,0,0.34493,0,1.2256,0.0028539,0,1.9996e-09,0,1.3852,0,0.21302,0,1.6192
1.1563,0,0,0.35228,0,1.2518,0.0029272,0,1.9996e-09,0,1.4148,0,0.21757,0,1.6192
1.2719,0,0,0.35944,0,1.2773,0.0029996,0,1.9996e-09,0,1.4436,0,0.22199,0,1.6192
1.3991,0,0,0.3664,0,1.302,0.0030713,0,1.9996e-09,0,1.4715,0,0.2263,0,1.6191
1.539,0,0,0.37316,0,1.3261,0.0031421,0,1.9996e-09,0,1.4987,0,0.23048,0,1.6191
1.6929,0,0,0.37972,0,1.3494,0.003212,0,1.9996e-09,0,1.5251,0,0.23453,0,1.6191
1.8622,0,0,0.38609,0,1.3721,0.0032809,0,1.9996e-09,0,1.5507,0,0.23847,0,1.619
2.0484,0,0,0.39226,0,1.394,0.0033488,0,1.9996e-09,0,1.5755,0,0.24229,0,1.619
2.2532,0,0,0.39837,0,1.4158,0.0034166,0,1.9996e-09,0,1.6001,0,0.24607,0,1.619
2.4786,0,0,0.40444,0,1.4374,0.0034849,0,1.9996e-09,0,1.6245,0,0.24982,0,1.6189
2.7264,0,0,0.41033,0,1.4583,0.0035526,0,1.9996e-09,0,1.6482,0,0.25346,0,1.6189
3,0,0,0.41605,0,1.4787,0.0036195,0,1.9996e-09,0,1.6712,0,0.25701,0,1.6188
3.3,0,0,0.42157,0,1.4983,0.0036848,0,1.9996e-09,0,1.6934,0,0.26042,0,1.6188
3.63,0,0,0.42692,0,1.5174,0.003749,0,1.9996e-09,0,1.715,0,0.26373,0,1.6188
3.993,0,0,0.4321,0,1.5358,0.003812,0,1.9996e-09,0,1.7358,0,0.26694,0,1.6187
4.3923,0,0,0.43711,0,1.5537,0.0038738,0,1.9996e-09,0,1.7559,0,0.27004,0,1.6187
4.8315,0,0,0.44195,0,1.5709,0.0039343,0,1.9996e-09,0,1.7755,0,0.27304,0,1.6186
5.3147,0,0,0.44664,0,1.5876,0.0039936,0,1.9996e-09,0,1.7943,0,0.27594,0,1.6186
5.8461,0,0,0.45118,0,1.6038,0.0040516,0,1.9996e-09,0,1.8126,0,0.27875,0,1.6186
6.4308,0,0,0.45557,0,1.6194,0.0041084,0,1.9996e-09,0,1.8303,0,0.28147,0,1.6185
7,0,0,0.45933,0,1.6328,0.0041553,0,1.9996e-09,0,1.8454,0,0.2838,0,1.6185
7.7,0,0,0.46345,0,1.6475,0.0042119,0,1.9996e-09,0,1.862,0,0.28635,0,1.6185
8.47,0,0,0.46744,0,1.6617,0.0042651,0,1.9996e-09,0,1.8781,0,0.28882,0,1.6184
9.317,0,0,0.4713,0,1.6754,0.004317,0,1.9996e-09,0,1.8936,0,0.29121,0,1.6184
10.249,0,0,0.47503,0,1.6887,0.0043677,0,1.9996e-09,0,1.9086,0,0.29352,0,1.6184
11.274,0,0,0.47863,0,1.7016,0.0044172,0,1.9996e-09,0,1.9231,0,0.29576,0,1.6183
12.401,0,0,0.48212,0,1.714,0.0044654,0,1.9996e-09,0,1.9372,0,0.29792,0,1.6183
14,0,0,0.48646,0,1.7295,0.0045309,0,1.9996e-09,0,1.9547,0,0.30061,0,1.6183
