Time(d),H2O@,C3AFS0.84H4.32,C3FS0.84H4.32,CSHQ-JenD,CSHQ-JenH,CSHQ-TobD,CSHQ-TobH,KSiOH,NaSiOH,ettr05,Fe-ettr05,monosulf1205,Fe-monosulf05,straet,straet7,ettr,ettr30,C4AH13,monosulf12,tricarboalu03,ettr03_ss,Mg3AlC0.5OH,Mg3FeC0.5OH,M075SH,M15SH,AlOHam,AlOHmic,Gbs,Kln,Gr,C12A7,C2S,C3A,C3S,C4AF,CA,CA2,C2AH7.5,C3AH6,C4AH11,C4AH13,C4AH19,CAH10,monosulf10.5,monosulf14,monosulf16,monosulf9,chabazite,zeoliteP_Ca,straet5.5,monocarb9,hemicarb10.5,hemicarb,hemicarb9,monocarb,ettr13,ettr9,Arg,Cal,C3FH6,C4FH13,C3FS0.84H4.32,C3FS1.34H3.32,Fe-hemicarb,Femonocarb,Dis-Dol,Ord-Dol,Lim,Portlandite,Anh,Gp,hemihydrate,thaumasite,Fe,FeCO3(pr),Sd,Hem,Mag,Fe(OH)3(am),FeOOHmic,Gt,Py,Tro,Melanterite,K2SO4,syngenite,K2O,hydrotalcite,Mgs,Brc,Na2SO4,natrolite,zeoliteX,zeoliteY,Na2O,Sulfur,Qtz,Amor-Sl
0.014421,4.914e-05,0,0,4.2107e-07,2.6184e-07,1.8756e-07,9.3707e-09,3.1548e-10,2.0991e-14,0,0,0,0,0,0,1.3976e-07,3.506e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11e-06,6.5633e-07,1.873e-05,3.7677e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5477e-07,0,3.1203e-06,0,0,0,0,0,0,0,0,0,2.5801e-09,0,0,0,0,0,0,0,0,1.113e-08,0,0,0,0,0,0,0,0
0.015863,4.9023e-05,0,0,4.7905e-07,2.9788e-07,2.1339e-07,1.0661e-08,3.7749e-10,2.0992e-14,0,0,0,0,0,0,1.578e-07,3.9587e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1023e-06,6.5434e-07,1.8643e-05,3.7665e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0997e-07,0,3.1155e-06,0,0,0,0,0,0,0,0,0,2.9841e-09,0,0,0,0,0,0,0,0,1.2719e-08,0,0,0,0,0,0,0,0
0.017449,4.8893e-05,0,0,5.4384e-07,3.3815e-07,2.4225e-07,1.2103e-08,4.505e-10,2.0994e-14,0,0,0,0,0,0,1.7789e-07,4.463e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0938e-06,6.5216e-07,1.8546e-05,3.765e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7181e-07,0,3.11e-06,0,0,0,0,0,0,0,0,0,3.4457e-09,0,0,0,0,0,0,0,0,1.45e-08,0,0,0,0,0,0,0,0
0.019194,4.8747e-05,0,0,6.1601e-07,3.8301e-07,2.744e-07,1.3709e-08,5.3614e-10,2.0995e-14,0,0,0,0,0,0,2.0023e-07,5.0238e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0846e-06,6.4976e-07,1.8437e-05,3.7634e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4083e-07,0,3.104e-06,0,0,0,0,0,0,0,0,0,3.9725e-09,0,0,0,0,0,0,0,0,1.6487e-08,0,0,0,0,0,0,0,0
0.021114,4.8586e-05,0,0,6.9611e-07,4.3279e-07,3.1008e-07,1.549e-08,6.3636e-10,2.0996e-14,0,0,0,0,0,0,2.2505e-07,5.6462e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0746e-06,6.4713e-07,1.8317e-05,3.7615e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1759e-07,0,3.0973e-06,0,0,0,0,0,0,0,0,0,4.5731e-09,0,0,0,0,0,0,0,0,1.8699e-08,0,0,0,0,0,0,0,0
0.023225,4.8407e-05,0,0,7.8469e-07,4.8784e-07,3.4954e-07,1.746e-08,7.5279e-10,2.0996e-14,0,0,0,0,0,0,2.5256e-07,6.3366e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0638e-06,6.4426e-07,1.8183e-05,3.7594e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0261e-07,0,3.0899e-06,0,0,0,0,0,0,0,0,0,5.2567e-09,0,0,0,0,0,0,0,0,2.1151e-08,0,0,0,0,0,0,0,0
0.025548,4.821e-05,0,0,8.8224e-07,5.4846e-07,3.9299e-07,1.963e-08,8.8752e-10,2.0997e-14,0,0,0,0,0,0,2.83e-07,7.1005e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.052e-06,6.4112e-07,1.8035e-05,3.757e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.964e-07,0,3.0816e-06,0,0,0,0,0,0,0,0,0,6.0338e-09,0,0,0,0,0,0,0,0,2.3857e-08,0,0,0,0,0,0,0,0
0.028102,4.7997e-05,0,0,9.8699e-07,6.1354e-07,4.3965e-07,2.1959e-08,1.0404e-09,2.0997e-14,0,0,0,0,0,0,3.1662e-07,7.944e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0393e-06,6.377e-07,1.7876e-05,3.7542e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9708e-07,0,3.0724e-06,0,0,0,0,0,0,0,0,0,6.9157e-09,0,0,0,0,0,0,0,0,2.677e-08,0,0,0,0,0,0,0,0
0.030913,4.7775e-05,0,0,1.0957e-06,6.811e-07,4.8808e-07,2.4378e-08,1.208e-09,2.0997e-14,0,0,0,0,0,0,3.5369e-07,8.8743e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0255e-06,6.3399e-07,1.7713e-05,3.7511e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0013e-06,0,3.062e-06,0,0,0,0,0,0,0,0,0,7.9151e-09,0,0,0,0,0,0,0,0,2.9803e-08,0,0,0,0,0,0,0,0
0.034004,4.7543e-05,0,0,1.2083e-06,7.5104e-07,5.3823e-07,2.688e-08,1.3919e-09,2.0997e-14,0,0,0,0,0,0,3.9449e-07,9.8979e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0107e-06,6.2998e-07,1.7544e-05,3.7475e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.109e-06,0,3.0502e-06,0,0,0,0,0,0,0,0,0,9.0462e-09,0,0,0,0,0,0,0,0,3.2953e-08,0,0,0,0,0,0,0,0
0.037404,4.7302e-05,0,0,1.3246e-06,8.2331e-07,5.9006e-07,2.9467e-08,1.5923e-09,2.0998e-14,0,0,0,0,0,0,4.3931e-07,1.1023e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9947e-06,6.2564e-07,1.7371e-05,3.7435e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2199e-06,0,3.037e-06,0,0,0,0,0,0,0,0,0,1.0324e-08,0,0,0,0,0,0,0,0,3.622e-08,0,0,0,0,0,0,0,0
0.041145,4.705e-05,0,0,1.4446e-06,8.9783e-07,6.435e-07,3.2134e-08,1.8101e-09,2.0998e-14,0,0,0,0,0,0,4.8848e-07,1.2257e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9775e-06,6.2097e-07,1.7193e-05,3.739e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3339e-06,0,3.0223e-06,0,0,0,0,0,0,0,0,0,1.1767e-08,0,0,0,0,0,0,0,0,3.9601e-08,0,0,0,0,0,0,0,0
